Symbol,Security Name
BZ,KANZHUN LIMITED - American Depository Shares
BZAI,"Blaize Holdings, Inc. - Common Stock"
BZFD,"BuzzFeed, Inc. - Class A Common Stock"
CAAS,"China Automotive Systems, Inc. - Ordinary Share"
CABA,"Cabaletta Bio, Inc. - Common Stock"
CABR,"Caring Brands, Inc. - Common Stock"
CAC,Camden National Corporation - Common Stock
CACC,Credit Acceptance Corporation - Common Stock
CADL,"Candel Therapeutics, Inc. - Common Stock"
CAEP,"Cantor Equity Partners III, Inc. - Class A Ordinary Shares"
CAI,"Caris Life Sciences, Inc. - Common Stock"
CAKE,The Cheesecake Factory Incorporated - Common Stock
CALC,"CalciMedica, Inc. - Common Stock"
CALM,"Cal-Maine Foods, Inc. - Common Stock"
CAMP,CAMP4 Therapeutics Corporation - Common Stock
CAMT,Camtek Ltd. - Ordinary Shares
CAPN,Cayson Acquisition Corp - Ordinary Shares
CAPNR,Cayson Acquisition Corp - Right
CAPNU,Cayson Acquisition Corp - Units
CAPR,"Capricor Therapeutics, Inc. - Common Stock"
CAPS,Capstone Holding Corp. - Common Stock
CAPT,Captivision Inc. - Ordinary Shares
CAR,"Avis Budget Group, Inc. - Common Stock"
CARE,"Carter Bankshares, Inc. - Common Stock"
CARG,"CarGurus, Inc. - Class A Common Stock"
CARL,"Carlsmed, Inc. - Common Stock"
CART,Maplebear Inc. - Common Stock
CARV,"Carver Bancorp, Inc. - Common Stock"
CASH,"Pathward Financial, Inc. - Common Stock"
CASI,"CASI Pharmaceuticals, Inc. - Ordinary Shares"
CASS,"Cass Information Systems, Inc - Common Stock"
CASY,"Caseys General Stores, Inc. - Common Stock"
CATY,Cathay General Bancorp - Common Stock
CBAT,"CBAK Energy Technology, Inc. - Common Stock"
CBFV,"CB Financial Services, Inc. - Common Stock"
CBIO,"Crescent Biopharma, Inc. - Common Stock"
CBK,"Commercial Bancgroup, Inc. - Common Stock"
CBLL,"CeriBell, Inc. - Common Stock"
CBNK,"Capital Bancorp, Inc. - Common Stock"
CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock"
CBSH,"Commerce Bancshares, Inc. - Common Stock"
CBUS,"Cibus, Inc. - Class A Common Stock"
CCAP,"Crescent Capital BDC, Inc. - Common Stock"
CCB,Coastal Financial Corporation - Common Stock
CCBG,Capital City Bank Group - Common Stock
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock
CCCC,"C4 Therapeutics, Inc. - Common Stock"
CCCX,Churchill Capital Corp X - Class A Ordinary Shares
CCCXU,Churchill Capital Corp X - Unit
CCEC,Capital Clean Energy Carriers Corp. - Common Share
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares
CCG,Cheche Group Inc. - Class A Ordinary Shares
CCHH,CCH Holdings Ltd - Ordinary Shares
CCII,Cohen Circle Acquisition Corp. II - Class A Ordinary Shares
CCIIU,Cohen Circle Acquisition Corp. II - Unit
CCIX,Churchill Capital Corp IX - Ordinary Shares
CCIXU,Churchill Capital Corp IX - Unit
CCLD,"CareCloud, Inc. - Common Stock"
CCNE,CNB Financial Corporation - Common Stock
CCOI,"Cogent Communications Holdings, Inc. - Common Stock"
CCRN,"Cross Country Healthcare, Inc. - Common Stock"
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock"
CCTG,CCSC Technology International Holdings Limited - Class A Ordinary Shares
CD,Chaince Digital Holdings Inc. - American Ordinary Shares
CDIO,Cardio Diagnostics Holdings Inc. - Common stock
CDLX,"Cardlytics, Inc. - Common Stock"
CDNA,"CareDx, Inc. - Common Stock"
CDNS,"Cadence Design Systems, Inc. - Common Stock"
CDRO,"Codere Online Luxembourg, S.A. - Ordinary Shares"
CDT,CDT Equity Inc. - Common Stock
CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares
CDTX,"Cidara Therapeutics, Inc. - Common Stock"
CDW,CDW Corporation - Common Stock
CDXS,"Codexis, Inc. - Common Stock"
CDZI,"Cadiz, Inc. - Common Stock"
CECO,CECO Environmental Corp. - Common Stock
CEG,Constellation Energy Corporation - Common Stock When-Issued
CELC,Celcuity Inc. - Common Stock
CELH,"Celsius Holdings, Inc. - Common Stock"
CELU,Celularity Inc. - Class A Common Stock
CELZ,"Creative Medical Technology Holdings, Inc. - Common Stock"
CENN,Cenntro Inc. - Common Stock
CENT,Central Garden & Pet Company - Common Stock
CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting
CENX,Century Aluminum Company - Common Stock
CEP,"Cantor Equity Partners, Inc. - Class A ordinary shares"
CEPF,"Cantor Equity Partners IV, Inc. - Class A Ordinary Shares"
CEPO,"Cantor Equity Partners I, Inc. - Class A Ordinary Shares"
CEPT,"Cantor Equity Partners II, Inc. - Class A ordinary share"
CEPV,"Cantor Equity Partners V, Inc. - Class A Ordinary Shares"
CERS,Cerus Corporation - Common Stock
CERT,"Certara, Inc. - Common Stock"
CETX,Cemtrex Inc. - Common Stock
CETY,"Clean Energy Technologies, Inc. - Common Stock"
CEVA,"CEVA, Inc. - Common Stock"
CFBK,CF Bankshares Inc. - Common Stock
CFFI,C&F Financial Corporation - Common Stock
CFFN,"Capitol Federal Financial, Inc. - Common Stock"
CFLT,"Confluent, Inc. - Class A Common Stock"
CG,The Carlyle Group Inc. - Common Stock
CGC,Canopy Growth Corporation - Common Shares
CGCT,Cartesian Growth Corporation III - Class A Ordinary Shares
CGCTU,Cartesian Growth Corporation III - unit
CGEM,"Cullinan Therapeutics, Inc. - Common Stock"
CGEN,Compugen Ltd. - Ordinary Shares
CGNT,Cognyte Software Ltd. - Ordinary Shares
CGNX,Cognex Corporation - Common Stock
CGON,"CG Oncology, Inc. - Common stock"
CGTL,Creative Global Technology Holdings Limited - Class A Ordinary Shares
CGTX,"Cognition Therapeutics, Inc. - Common Stock"
CHAC,Crane Harbor Acquisition Corp. - Class A Ordinary Shares
CHACR,Crane Harbor Acquisition Corp. - Rights
CHACU,Crane Harbor Acquisition Corp. - Units
CHAI,"Core AI Holdings, Inc. - Common Shares"
CHAR,Charlton Aria Acquisition Corporation - Class A Ordinary Shares
CHARR,Charlton Aria Acquisition Corporation - Rights
CHARU,Charlton Aria Acquisition Corporation - Units
CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock"
CHCO,City Holding Company - Common Stock
CHDN,"Churchill Downs, Incorporated - Common Stock"
CHEC,Chenghe Acquisition III Co. - Class A Ordinary Shares
CHECU,Chenghe Acquisition III Co. - Units
CHEF,"The Chefs' Warehouse, Inc. - Common Stock"
CHEK,Check-Cap Ltd. - Ordinary Share
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares
CHMG,Chemung Financial Corp  - Common Stock
CHNR,"China Natural Resources, Inc. - Common Shares"
CHPG,ChampionsGate Acquisition Corporation - Class A Ordinary Share
CHPGR,ChampionsGate Acquisition Corporation - Rights
CHPGU,ChampionsGate Acquisition Corporation - Unit
CHR,"Cheer Holding, Inc.  - Class A Ordinary Share"
CHRD,Chord Energy Corporation - Common Stock
CHRS,"Coherus Oncology, Inc. - Common Stock"
CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock"
CHSN,Chanson International Holding - Class A Ordinary Shares
CHTR,"Charter Communications, Inc. - Class A Common Stock"
CHYM,"Chime Financial, Inc. - Class A Common Stock"
CIFR,Cipher Mining Inc. - Common Stock
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares
CIGL,Concorde International Group Ltd - Class A Ordinary Shares
CIIT,"Tianci International, Inc. - Common Stock"
CINF,Cincinnati Financial Corporation - Common Stock
CING,Cingulate Inc. - Common Stock
CISO,"CISO Global, Inc. - Common Stock"
CISS,C3is Inc. - Common Stock
CIVB,"Civista Bancshares, Inc.  - Common Stock"
CJET,"Chijet Motor Company, Inc. - Class A Ordinary Shares"
CJMB,Callan JMB Inc. - Common Stock
CLAR,Clarus Corporation - Common Stock
CLBK,"Columbia Financial, Inc. - Common Stock"
CLBT,Cellebrite DI Ltd. - Ordinary Shares
CLDX,"Celldex Therapeutics, Inc. - Common Stock"
CLFD,"Clearfield, Inc. - Common Stock"
CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares
CLIK,Click Holdings Limited - Ordinary Share
CLIR,ClearSign Technologies Corporation - Common Stock
CLMB,"Climb Global Solutions, Inc. - Common Stock"
CLMT,"Calumet, Inc - Common Stock"
CLNE,Clean Energy Fuels Corp. - Common Stock
CLNN,Clene Inc. - Common Stock
CLOV,"Clover Health Investments, Corp.  - Class A Common stock"
CLPS,CLPS Incorporation - Common Stock
CLPT,ClearPoint Neuro Inc. - Common Stock
CLRB,"Cellectar Biosciences, Inc. - Common Stock"
CLRO,"ClearOne, Inc. - Common Stock"
CLSD,"Clearside Biomedical, Inc. - Common Stock"
CLSK,"CleanSpark, Inc. - Common Stock"
CLST,"Catalyst Bancorp, Inc. - common stock"
CLWT,Euro Tech Holdings Company Limited - Ordinary Shares
CLYM,"Climb Bio, Inc. - Common Stock"
CMBM,Cambium Networks Corporation - Ordinary Shares
CMCO,Columbus McKinnon Corporation - Common Stock
CMCSA,Comcast Corporation - Class A Common Stock
CMCT,Creative Media  - Common Stock
CME,CME Group Inc. - Class A Common Stock
CMND,Clearmind Medicine Inc. - Common Shares
CMPR,Cimpress plc - Ordinary Shares
CMPS,COMPASS Pathways Plc - American Depository Shares
CMPX,"Compass Therapeutics, Inc. - Common Stock"
CMRC,"Commerce.com, Inc. - Series 1 Common Stock"
CMTL,Comtech Telecommunications Corp. - Common Stock
CNCK,Coincheck Group N.V. - Ordinary Shares
CNDT,Conduent Incorporated - Common Stock
CNET,ZW Data Action Technologies Inc. - Common Stock
CNEY,CN Energy Group Inc. - Class A Ordinary Shares
CNOB,"ConnectOne Bancorp, Inc. - Common Stock"
CNSP,"CNS Pharmaceuticals, Inc. - Common Stock"
CNTB,Connect Biopharma Holdings Limited - Ordinary Shares
CNTX,Context Therapeutics Inc. - Common Stock
CNTY,"Century Casinos, Inc. - Common Stock"
CNVS,Cineverse Corp. - Class A Common Stock
CNXC,Concentrix Corporation - Common Stock
CNXN,"PC Connection, Inc. - Common Stock"
COCH,"Envoy Medical, Inc. - Class A Common Stock"
COCO,"The Vita Coco Company, Inc. - Common Stock"
COCP,"Cocrystal Pharma, Inc. - Common Stock"
CODA,"Coda Octopus Group, Inc. - Common stock"
CODX,"Co-Diagnostics, Inc. - Common Stock"
COEP,"Coeptis Therapeutics Holdings, Inc. - Common Stock"
COFS,"ChoiceOne Financial Services, Inc. - Common Stock"
COGT,"Cogent Biosciences, Inc. - Common Stock"
COHU,"Cohu, Inc. - Common Stock"
COIN,"Coinbase Global, Inc. - Class A Common Stock"
COKE,"Coca-Cola Consolidated, Inc. - Common Stock"
COLA,Columbus Acquisition Corp - Ordinary Shares
COLAR,Columbus Acquisition Corp - Rights
COLAU,Columbus Acquisition Corp - Unit
COLB,"Columbia Banking System, Inc. - Common Stock"
COLL,"Collegium Pharmaceutical, Inc. - Common Stock"
COLM,Columbia Sportswear Company - Common Stock
COMM,"CommScope Holding Company, Inc. - Common Stock"
COO,"The Cooper Companies, Inc.  - Common Stock"
COOT,Australian Oilseeds Holdings Limited - Ordinary Shares
CORT,Corcept Therapeutics Incorporated - Common Stock
CORZ,"Core Scientific, Inc. - Common Stock"
COSM,Cosmos Health Inc. - Common Stock
COST,Costco Wholesale Corporation - Common Stock
COYA,"Coya Therapeutics, Inc. - Common Stock"
CPB,The Campbell's Company - Common Stock
CPBI,"Central Plains Bancshares, Inc. - Common Stock"
CPHC,Canterbury Park Holding Corporation - Common Stock
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock
CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares"
CPRT,"Copart, Inc. - Common Stock"
CPRX,"Catalyst Pharmaceuticals, Inc. - Common Stock"
CPSH,CPS Technologies Corp. - Common Stock
CPSS,"Consumer Portfolio Services, Inc. - Common Stock"
CRACU,Crown Reserve Acquisition Corp. I - Unit
CRAI,"CRA International,Inc. - Common Stock"
CRAQ,Cal Redwood Acquisition Corp. - Class A Ordinary Shares
CRAQR,Cal Redwood Acquisition Corp. - Right
CRAQU,Cal Redwood Acquisition Corp. - Units
CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock"
CRBU,"Caribou Biosciences, Inc. - Common Stock"
CRCT,"Cricut, Inc. - Class A common stock"
CRDF,"Cardiff Oncology, Inc. - Common Stock"
CRDL,Cardiol Therapeutics Inc. - Class A Common Shares
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares
CRE,Cre8 Enterprise Limited - Class A Ordinary Shares
CREG,Smart Powerr Corp. - Common Stock
CREV,Carbon Revolution Public Limited Company - Ordinary Shares
CREX,"Creative Realities, Inc. - Common Stock"
CRGO,Freightos Limited - Ordinary shares
CRIS,"Curis, Inc. - Common Stock"
CRMD,CorMedix Inc. - Common Stock
CRML,Critical Metals Corp. - Ordinary Shares
CRMT,"America's Car-Mart, Inc. - Common Stock"
CRNC,Cerence Inc. - Common Stock
CRNT,Ceragon Networks Ltd. - Ordinary Shares
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock"
CRON,Cronos Group Inc. - Common Share
CROX,"Crocs, Inc. - Common Stock"
CRSP,CRISPR Therapeutics AG - Common Shares
CRSR,"Corsair Gaming, Inc. - Common Stock"
CRUS,"Cirrus Logic, Inc. - Common Stock"
CRVL,CorVel Corp. - Common Stock
CRVO,CervoMed Inc. - Common Stock
CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock"
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock"
CRWS,"Crown Crafts, Inc. - Common Stock"
CRWV,"CoreWeave, Inc. - Class A Common Stock"
CSAI,"Cloudastructure, Inc. - Class A Common Stock"
CSBR,"Champions Oncology, Inc. - Common Stock"
CSCO,"Cisco Systems, Inc. - Common Stock"
CSGP,"CoStar Group, Inc. - Common Stock"
CSGS,"CSG Systems International, Inc. - Common Stock"
CSIQ,Canadian Solar Inc. - Common Shares
CSPI,CSP Inc. - Common Stock
CSTE,Caesarstone Ltd. - Ordinary Shares
CSTL,"Castle Biosciences, Inc. - Common stock"
CSWC,Capital Southwest Corporation - Common Stock
CSX,CSX Corporation - Common Stock
CTAS,Cintas Corporation - Common Stock
CTKB,"Cytek Biosciences, Inc. - Common Stock"
CTLP,"Cantaloupe, Inc. - Common Stock"
CTMX,"CytomX Therapeutics, Inc. - Common Stock"
CTNM,"Contineum Therapeutics, Inc. - Common stock"
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock
CTOR,"Citius Oncology, Inc.  - Common Stock"
CTRM,Castor Maritime Inc. - Common Shares
CTRN,"Citi Trends, Inc. - Common Stock"
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock
CTSO,Cytosorbents Corporation - Common Stock
CTW,CTW Cayman - Class A Ordinary Shares
CTXR,"Citius Pharmaceuticals, Inc. - Common Stock"
CUB,Lionheart Holdings - Class A Ordinary Shares
CUBWU,Lionheart Holdings - Unit
CUE,"Cue Biopharma, Inc. - Common Stock"
CUPR,Cuprina Holdings (Cayman) Limited - Ordinary shares
CURI,CuriosityStream Inc.  - Class A Common Stock
CURR,Currenc Group Inc. - Ordinary Shares
CURX,Curanex Pharmaceuticals Inc - Common Stock
CV,"CapsoVision, Inc. - Common Stock"
CVAC,CureVac N.V. - Ordinary Shares
CVBF,CVB Financial Corporation - Common Stock
CVCO,"Cavco Industries, Inc. - Common Stock"
CVGI,"Commercial Vehicle Group, Inc. - Common Stock"
CVGW,"Calavo Growers, Inc. - Common Stock"
CVLT,"Commvault Systems, Inc. - Common Stock"
CVRX,"CVRx, Inc. - Common Stock"
CVV,CVD Equipment Corporation - Common Stock
CWBC,Community West Bancshares - Common Stock
CWCO,Consolidated Water Co. Ltd. - Ordinary Shares
CWD,CaliberCos Inc. - Class A Common Stock
CWST,"Casella Waste Systems, Inc. - Class A Common Stock"
CXAI,CXApp Inc. - Class A Common Stock
CXDO,"Crexendo, Inc. - Common Stock"
CYBR,CyberArk Software Ltd. - Ordinary Shares
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock"
CYCU,"Cycurion, Inc. - Common Stock"
CYN,Cyngn Inc. - Common stock
CYPH,Cypherpunk Technologies Inc. - Common Stock
CYRX,"CryoPort, Inc. - Common Stock"
CYTK,"Cytokinetics, Incorporated - Common Stock"
CZFS,"Citizens Financial Services, Inc. - Common Stock"
CZNC,Citizens & Northern Corp - Common Stock
CZR,"Caesars Entertainment, Inc. - Common Stock"
CZWI,"Citizens Community Bancorp, Inc. - Common Stock"
DAAQ,Digital Asset Acquisition Corp. - Class A Ordinary shares
DAAQU,Digital Asset Acquisition Corp. - Units
DAIC,"CID HoldCo, Inc. - Common Stock"
DAIO,Data I/O Corporation - Common Stock
DAKT,"Daktronics, Inc. - Common Stock"
DARE,"Dare Bioscience, Inc. - Common Stock"
DASH,"DoorDash, Inc. - Common Stock"
DAVE,Dave Inc.  - Class A Common Stock
DAWN,"Day One Biopharmaceuticals, Inc. - Common Stock"
DBGI,"Digital Brands Group, Inc. - Common Stock"
DBX,"Dropbox, Inc. - Class A Common Stock"
DCBO,Docebo Inc. - Common Shares
DCGO,DocGo Inc. - Common Stock
DCOM,"Dime Community Bancshares, Inc. - Common Stock"
DCTH,"Delcath Systems, Inc. - Common Stock"
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares"
DDOG,"Datadog, Inc. - Class A Common Stock"
DEFT,"Defi Technologies, Inc. - Common Stock"
DENN,Denny's Corporation - Common Stock
DERM,Journey Medical Corporation - Common Stock
DEVS,DevvStream Corp. - Common Stock
DFDV,DeFi Development Corp. - Common Stock
DFLI,Dragonfly Energy Holdings Corp - Common Stock
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering"
DGICA,"Donegal Group, Inc. - Class A Common Stock"
DGICB,"Donegal Group, Inc. - Class B Common Stock"
DGII,Digi International Inc. - Common Stock
DGLY,"Digital Ally, Inc. - Common Stock"
DGNX,Diginex Limited - Ordinary Shares
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares
DH,Definitive Healthcare Corp. - Class A Common Stock
DHIL,"Diamond Hill Investment Group, Inc. - Class A Common Stock"
DIBS,"1stdibs.com, Inc. - Common Stock"
DIOD,Diodes Incorporated - Common Stock
DJCO,Daily Journal Corp. (S.C.) - Common Stock
DJT,Trump Media & Technology Group Corp. - Common Stock
DKI,DarkIris Inc. - Class A Ordinary Shares
DKNG,DraftKings Inc. - Class A Common Stock
DLHC,DLH Holdings Corp. - Common Stock
DLO,DLocal Limited - Class A Common Shares
DLPN,"Dolphin Entertainment, Inc. - Common Stock"
DLTH,Duluth Holdings Inc. - Class B Common Stock
DLTR,"Dollar Tree, Inc. - Common Stock"
DLXY,Delixy Holdings Limited - Ordinary Shares
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares
DMAAR,Drugs Made In America Acquisition Corp. - Rights
DMAAU,Drugs Made In America Acquisition Corp. - Units
DMAC,DiaMedica Therapeutics Inc. - Common Stock
DMIIU,Drugs Made In America Acquisition II Corp. - Unit
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests"
DMRC,Digimarc Corporation - Common Stock
DNLI,Denali Therapeutics Inc. - Common Stock
DNMX,Dynamix Corporation III - Class A Ordinary Shares
DNMXU,Dynamix Corporation III - Unit
DNTH,"Dianthus Therapeutics, Inc. - Common Stock"
DNUT,"Krispy Kreme, Inc. - Common Stock"
DOCU,"DocuSign, Inc. - Common Stock"
DOGZ,Dogness (International) Corporation - Class A Common Stock
DOMH,Dominari Holdings Inc. - Common Stock
DOMO,"Domo, Inc. - Class B Common Stock"
DOOO,BRP Inc. - Common Subordinate Voting Shares
DORM,"Dorman Products, Inc. - Common Stock"
DOX,Amdocs Limited - Ordinary Shares
DPRO,Draganfly Inc. - Common Shares
DPZ,Domino's Pizza Inc - Common Stock
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock"
DRDB,Roman DBDR Acquisition Corp. II - Ordinary shares
DRDBU,Roman DBDR Acquisition Corp. II - Unit
DRIO,DarioHealth Corp. - Common Stock
DRMA,"Dermata Therapeutics, Inc. - Common Stock"
DRS,"Leonardo DRS, Inc. - Common Stock"
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares
DRUG,Bright Minds Biosciences Inc. - common stock
DRVN,Driven Brands Holdings Inc. - Common Stock
DSGN,"Design Therapeutics, Inc. - Common Stock"
DSGR,"Distribution Solutions Group, Inc. - Common Stock"
DSGX,The Descartes Systems Group Inc. - Common Stock
DSP,Viant Technology Inc. - common stock
DSWL,"Deswell Industries, Inc. - Common Shares"
DSY,Big Tree Cloud Holdings Limited - Ordinary Shares
DTCK,Davis Commodities Limited - Class A Ordinary Shares
DTI,Drilling Tools International Corporation  - Common Stock
DTIL,"Precision BioSciences, Inc. - Common Stock"
DTSQ,DT Cloud Star Acquisition Corporation - Ordinary Shares
DTSQR,DT Cloud Star Acquisition Corporation - Right
DTSQU,DT Cloud Star Acquisition Corporation - Units
DTSS,Datasea Inc. - Common Stock
DTST,Data Storage Corporation - Common Stock
DUO,Fangdd Network Group Ltd. - Class A Ordinary Shares
DUOL,"Duolingo, Inc. - Class A Common Stock"
DUOT,"Duos Technologies Group, Inc. - Common Stock"
DVAX,Dynavax Technologies Corporation - Common Stock
DVLT,Datavault AI Inc. - Common Stock
DWSN,Dawson Geophysical Company - Common Stock
DWTX,"Dogwood Therapeutics, Inc.  - Common Stock"
DXCM,"DexCom, Inc. - Common Stock"
DXLG,"Destination XL Group, Inc. - Common Stock"
DXPE,"DXP Enterprises, Inc. - Common Stock"
DXST,Decent Holding Inc. - Class A Ordinary Shares
DYAI,"Dyadic International, Inc. - Common Stock"
DYCQ,DT Cloud Acquisition Corporation - Ordinary shares
DYCQR,DT Cloud Acquisition Corporation - Right
DYCQU,DT Cloud Acquisition Corporation - Unit
DYN,"Dyne Therapeutics, Inc. - Common Stock"
DYOR,Insight Digital Partners II - Class A Ordinary Shares
DYORU,Insight Digital Partners II - Units
EA,Electronic Arts Inc. - Common Stock
EBAY,eBay Inc. - Common Stock
EBC,"Eastern Bankshares, Inc. - Common Stock"
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock"
EBON,Ebang International Holdings Inc. - Class A Ordinary Shares
ECBK,"ECB Bancorp, Inc. - Common Stock"
ECDA,"ECD Automotive Design, Inc. - Common Stock"
ECOR,"electroCore, Inc. - Common Stock"
ECPG,Encore Capital Group Inc - Common Stock
ECX,ECARX Holdings Inc. - Class A Ordinary shares
EDBL,Edible Garden AG Incorporated - Common Stock
EDHL,Everbright Digital Holding Limited - Ordinary Shares
EDIT,"Editas Medicine, Inc. - Common Stock"
EDRY,EuroDry Ltd. - Common Shares
EDSA,"Edesa Biotech, Inc. - Common Shares"
EDTK,Skillful Craftsman Education Technology Limited - Ordinary Share
EDUC,Educational Development Corporation - Common Stock
EEFT,"Euronet Worldwide, Inc. - Common Stock"
EEIQ,EpicQuest Education Group International Limited - Common Stock
EFOI,"Energy Focus, Inc. - Common Stock"
EFSC,Enterprise Financial Services Corporation - Common Stock
EFSI,Eagle Financial Services Inc - Common Stock
EFTY,"Etoiles Capital Group Co., Ltd. - Class A Ordinary Shares"
EGAN,eGain Corporation - Common Stock
EGBN,"Eagle Bancorp, Inc. - Common Stock"
EGHA,EGH Acquisition Corp. - Class A ordinary shares
EGHAR,EGH Acquisition Corp. - rights
EGHAU,EGH Acquisition Corp. - Unit
EGHT,8x8 Inc - Common stock
EH,EHang Holdings Limited - ADS
EHGO,Eshallgo Inc. - Class A Ordinary Shares
EHLD,Euroholdings Ltd. - Common Stock
EHTH,"eHealth, Inc. - Common Stock"
EJH,E-Home Household Service Holdings Limited - Ordinary shares
EKSO,"Ekso Bionics Holdings, Inc. - Common Stock"
ELAB,PMGC Holdings Inc. - Common Stock
ELBM,Electra Battery Materials Corporation - Common Stock
ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock"
ELIL,Direxion Daily LLY Bull 2X Shares
ELIS,Direxion Daily LLY Bear 1X Shares
ELOG,Eastern International Ltd. - Ordinary Shares
